Starting crawl...
Crawling: https://docs.python.org/3/
Crawling: https://docs.python.org/3/download.html
Crawling: https://docs.python.org/3.16/
Crawling: https://docs.python.org/3.15/
Crawling: https://docs.python.org/3.14/
Crawling: https://docs.python.org/3.13/
Crawling: https://docs.python.org/3.12/
Crawling: https://docs.python.org/3.11/
Crawling: https://docs.python.org/3.10/
Crawling: https://docs.python.org/3.9/
Crawling: https://docs.python.org/3.8/
Crawling: https://docs.python.org/3.7/
Crawling: https://docs.python.org/3.6/
Crawling: https://docs.python.org/3.5/
Crawling: https://docs.python.org/3.4/
Crawling: https://docs.python.org/3.3/
Crawling: https://docs.python.org/3.2/
Crawling: https://docs.python.org/3.1/
Crawling: https://docs.python.org/3.0/
Crawling: https://docs.python.org/2.7/
Crawling: https://docs.python.org/2.6/
Crawling: https://docs.python.org/3/genindex.html
Crawling: https://docs.python.org/3/py-modindex.html
Crawling: https://docs.python.org/3/#
Crawling: https://docs.python.org/3/whatsnew/3.14.html
Crawling: https://docs.python.org/3/whatsnew/index.html
Crawling: https://docs.python.org/3/tutorial/index.html
Crawling: https://docs.python.org/3/library/index.html
Crawling: https://docs.python.org/3/reference/index.html
Crawling: https://docs.python.org/3/using/index.html
Crawling: https://docs.python.org/3/howto/index.html
Crawling: https://docs.python.org/3/installing/index.html
Crawling: https://docs.python.org/3/extending/index.html
Crawling: https://docs.python.org/3/c-api/index.html
Crawling: https://docs.python.org/3/faq/index.html
Crawling: https://docs.python.org/3/deprecations/index.html
Crawling: https://docs.python.org/3/glossary.html
Crawling: https://docs.python.org/3/search.html
Crawling: https://docs.python.org/3/contents.html
Crawling: https://docs.python.org/3/bugs.html
Crawling: https://docs.python.org/3/license.html
Crawling: https://docs.python.org/3/copyright.html
Crawling: https://docs.python.org/3/about.html
Crawling: https://docs.python.org/license.html
Crawling: https://docs.python.org/bugs.html
Crawling: https://docs.python.org/3/index.html
Crawling: https://docs.python.org/3/archives/python-3.14-docs-html.zip
Crawling: https://docs.python.org/3/archives/python-3.14-docs-html.tar.bz2
Crawling: https://docs.python.org/3/archives/python-3.14-docs-text.zip
Crawling: https://docs.python.org/3/archives/python-3.14-docs-text.tar.bz2
Crawl completed. Total pages: 50
Orphan pages found: 0
External links found: 441
