File Path,Line Count
./generate_code_model_run.py,297
./tasks/task_091/step_3.py,40
./tasks/task_091/step_1.py,24
./tasks/task_091/step_2.py,18
./tasks/task_091/step_4.py,44
./tasks/task_122/step_2.py,1
./tasks/task_023/step_5.py,12
./tasks/task_023/step_2.py,14
./tasks/task_086/step_3.py,9
./tasks/task_086/step_1.py,4
./tasks/task_086/step_2.py,7
./tasks/task_092/step_3.py,7
./tasks/task_092/step_5.py,1
./tasks/task_092/step_2.py,19
./tasks/task_092/step_4.py,1
./tasks/task_013/step_3.py,15
./tasks/task_089/step_3.py,22
./tasks/task_089/step_1.py,22
./tasks/task_072/step_1.py,24
./tasks/task_072/step_2.py,24
./tasks/task_101/step_2.py,7
./tasks/task_035/step_2.py,31
./tasks/task_130/step_3.py,5
./tasks/task_130/step_5.py,5
./tasks/task_130/step_1.py,5
./tasks/task_130/step_2.py,5
./tasks/task_130/step_4.py,5
./tasks/task_032/step_3.py,1
./tasks/task_032/step_2.py,37
./tasks/task_105/step_3.py,17
./tasks/task_105/step_1.py,17
./tasks/task_105/step_2.py,21
./tasks/task_057/step_3.py,13
./tasks/task_057/step_1.py,13
./tasks/task_057/step_2.py,13
./tasks/task_079/step_2.py,7
./tasks/task_112/step_1.py,20
./tasks/task_112/step_2.py,20
./tasks/task_114/step_1.py,16
./tasks/task_114/step_2.py,25
./tasks/task_144/step_2.py,29
./tasks/task_017/step_3.py,25
./tasks/task_075/step_2.py,7
./tasks/task_087/step_3.py,5
./tasks/task_087/step_5.py,5
./tasks/task_087/step_1.py,4
./tasks/task_087/step_2.py,7
./tasks/task_087/step_4.py,6
./tasks/task_141/step_2.py,31
./tasks/task_108/step_3.py,9
./tasks/task_108/step_4.py,10
./tasks/task_098/step_2.py,7
./tasks/task_076/step_3.py,9
./tasks/task_003/step_3.py,19
./tasks/task_085/step_2.py,1
./tasks/task_093/step_3.py,7
./tasks/task_093/step_2.py,14
./tasks/task_120/step_2.py,2
./tasks/task_127/step_3.py,5
./tasks/task_127/step_5.py,5
./tasks/task_127/step_1.py,5
./tasks/task_127/step_2.py,5
./tasks/task_127/step_4.py,5
./tasks/task_090/step_3.py,66
./tasks/task_090/step_1.py,41
./tasks/task_090/step_2.py,38
./tasks/task_090/step_4.py,55
./tasks/task_058/step_1.py,31
./tasks/task_058/step_2.py,27
./tasks/task_145/step_2.py,29
./tasks/task_142/step_2.py,35
./tasks/task_056/step_3.py,13
./tasks/task_056/step_1.py,19
./tasks/task_056/step_2.py,12
./tasks/task_056/step_4.py,12
./tasks/task_059/step_2.py,2
./tasks/task_046/step_3.py,30
./tasks/task_046/step_2.py,26
./tasks/task_043/step_2.py,15
./tasks/task_069/step_1.py,10
./tasks/task_113/step_3.py,8
./tasks/task_113/step_5.py,11
./tasks/task_113/step_2.py,8
./tasks/task_107/step_3.py,8
./tasks/task_107/step_4.py,8
./tasks/task_138/step_1.py,4
./tasks/task_060/step_2.py,8
./tasks/task_066/step_1.py,9
./tasks/task_066/step_2.py,1
./tasks/task_067/step_3.py,11
./tasks/task_067/step_1.py,11
./tasks/task_067/step_2.py,11
./tasks/task_067/step_4.py,11
./tasks/task_083/step_3.py,8
./tasks/task_083/step_4.py,12
./tasks/task_009/step_2.py,14
./tasks/task_010/step_3.py,13
./tasks/task_149/step_2.py,25
./tasks/task_080/step_2.py,9
./tasks/task_065/step_1.py,9
./tasks/task_065/step_2.py,1
./tasks/task_068/step_3.py,13
./tasks/task_068/step_5.py,14
./tasks/task_068/step_1.py,31
./tasks/task_068/step_2.py,20
./tasks/task_068/step_4.py,13
./tasks/task_073/step_3.py,30
./tasks/task_073/step_1.py,27
./tasks/task_073/step_2.py,30
./tasks/task_073/step_4.py,23
./tasks/task_126/step_3.py,7
./tasks/task_126/step_1.py,14
./tasks/task_031/step_2.py,27
./tasks/task_088/step_3.py,23
./tasks/task_088/step_1.py,19
./tasks/task_016/step_2.py,24
./tasks/task_025/step_3.py,29
./tasks/task_025/step_1.py,29
./tasks/task_025/step_2.py,29
./tasks/task_025/step_4.py,29
./tasks/task_063/step_1.py,9
./tasks/task_084/step_1.py,6
./tasks/task_125/step_2.py,10
./tasks/task_128/step_3.py,11
./tasks/task_128/step_1.py,11
./tasks/task_128/step_2.py,11
./tasks/task_128/step_4.py,11
./tasks/task_121/step_2.py,12
./tasks/task_129/step_3.py,16
./tasks/task_129/step_5.py,15
./tasks/task_129/step_1.py,15
./tasks/task_129/step_2.py,15
./tasks/task_129/step_4.py,16
./tasks/task_074/step_1.py,20
./tasks/task_074/step_2.py,20
./tasks/task_081/step_3.py,18
./tasks/task_081/step_1.py,18
./tasks/task_099/step_3.py,19
./tasks/task_099/step_1.py,17
./tasks/task_099/step_2.py,17
./tasks/task_064/step_1.py,10
./tasks/task_052/step_1.py,22
./tasks/task_052/step_2.py,23
./tasks/task_143/step_3.py,27
./tasks/task_123/step_2.py,1
./tasks/task_102/step_2.py,1
./tasks/task_070/step_3.py,37
./tasks/task_070/step_1.py,19
./tasks/task_070/step_2.py,34
./tasks/task_106/step_3.py,17
./tasks/task_106/step_4.py,12
./tasks/task_077/step_2.py,2
./tasks/task_104/step_3.py,13
./tasks/task_104/step_5.py,13
./tasks/task_104/step_1.py,13
./tasks/task_104/step_4.py,13
./tasks/task_109/step_3.py,13
./tasks/task_109/step_5.py,13
./tasks/task_109/step_4.py,12
./tasks/task_124/step_2.py,1
./tasks/task_135/step_2.py,9
./tasks/task_062/step_4.py,24
./tasks/task_011/step_3.py,1
./tasks/task_011/step_2.py,1
./tasks/task_110/step_4.py,13
./tasks/task_095/step_2.py,2
./tasks/task_137/step_3.py,4
./tasks/task_137/step_1.py,4
./tasks/task_137/step_2.py,5
./tasks/task_055/step_3.py,13
./tasks/task_055/step_1.py,21
./tasks/task_055/step_2.py,17
./tasks/task_096/step_3.py,23
./tasks/task_096/step_2.py,23
./tasks/task_071/step_3.py,28
./tasks/task_071/step_1.py,26
./tasks/task_071/step_2.py,30
./tasks/task_071/step_4.py,28
./tasks/task_103/step_1.py,15
./tasks/task_103/step_2.py,19
./tasks/task_048/step_3.py,22
./tasks/task_118/step_2.py,2
./tasks/task_054/step_1.py,4
./tasks/task_116/step_3.py,18
./tasks/task_116/step_1.py,16
./tasks/task_116/step_2.py,28
./tasks/task_131/step_3.py,84
./tasks/task_131/step_5.py,16
./tasks/task_131/step_4.py,16
./tasks/task_053/step_5.py,2
./tasks/task_053/step_1.py,22
./tasks/task_053/step_2.py,22
./tasks/task_053/step_4.py,4
./tasks/task_100/step_2.py,7
